,len1,len2,len3,prlendif1,prlendif2,postrix1,postrix2,minl1,minl2,minl3,prrat1,prrat2,startdate,rat,len,sn,refid,maxang1,maxang2,maxh1,maxh2,maxh3
212,-7.0,13.0,-2.0,-7.0,-11.0,1.0,11.0,32.12,34.87,32.78,6.612267867191889,17.06795077581593,2016-03-08,57.838983050847474,27,300419,189,10.163120520396278,19.97792924097729,38.99,44.86,36.32
840,-5.0,10.0,-25.0,-5.0,-10.0,1.0,4.0,15.39,16.62,14.64,8.187134502923964,13.234567901234565,2015-08-07,7.806882383153567,7,300271,283,5.020212752616354,15.707395725272189,18.98,23.43,36.85
1417,-3.0,13.0,-15.0,-3.0,-13.0,3.0,5.0,7.62,8.46,8.25,18.0537772087068,8.8016967126193,2016-03-03,21.988950276243077,22,300058,449,1.7001336627699168,4.841390718244185,9.38,10.45,13.4
1544,-5.0,12.0,-7.0,-5.0,-12.0,1.0,6.0,5.99,6.53,5.91,14.759535655058029,11.669128508124073,2016-03-07,27.817403708987175,17,300283,524,1.4241407950149627,2.7734171709272823,7.35,7.6,7.46
1695,-4.0,15.0,-28.0,-4.0,-15.0,4.0,7.0,37.17,38.45,31.15,9.900457358084472,17.417417417417425,2015-08-07,11.834319526627214,9,300449,75,2.8323883402478933,33.234195103104426,42.05,54.95,106.47
1870,-4.0,10.0,-25.0,-4.0,-10.0,4.0,2.0,9.09,9.89,8.86,1.3875123885034757,9.285127362366485,2015-08-06,19.77715877437327,11,300153,348,1.3602630500726005,8.948814538969383,10.59,14.2,20.9
2126,-4.0,13.0,-19.0,-4.0,-13.0,4.0,5.0,6.43,6.87,6.13,8.531468531468532,8.132875143184414,2015-08-06,18.586387434554986,11,300264,389,1.2401581038741505,6.466339858978355,7.94,9.84,16.38
2138,-6.0,11.0,-22.0,-6.0,-11.0,2.0,5.0,6.97,7.64,6.96,12.448700410396741,19.088669950738925,2016-03-08,87.16136631330977,20,300264,529,1.8034674265315047,5.017399473448566,8.59,9.79,13.94
2341,-7.0,13.0,-4.0,-7.0,-13.0,1.0,9.0,12.26,13.25,12.85,8.664546899841021,13.140794223826726,2016-03-09,23.03664921465969,21,300273,473,2.375567423791606,5.910568484489893,14.09,15.75,13.82
2554,-7.0,9.0,-8.0,-7.0,-9.0,1.0,3.0,55.61,60.01,57.81,3.573305307409358,8.210822646230831,2016-06-23,20.738400133045065,13,300431,176,8.490076817279261,22.04058668454205,62.6,71.54,67.51
2684,-4.0,14.0,-2.0,-4.0,-4.0,4.0,14.0,10.85,11.51,10.83,13.617021276595745,17.715231788079482,2016-03-04,26.37362637362639,20,300120,513,2.408074055496852,5.115365078386983,13.55,14.23,11.79
2860,-6.0,14.0,-4.0,-6.0,-14.0,6.0,8.0,5.71,6.05,5.88,8.747855917667223,10.236220472440948,2016-03-08,19.551282051282048,29,300102,458,0.7794296353476368,2.586939630437907,6.5,7.03,6.52
2946,-6.0,13.0,-4.0,-6.0,-13.0,2.0,9.0,4.65,4.83,4.63,1.2195121951219523,8.979591836734691,2014-05-05,2.594810379241519,8,300149,78,0.4680977617733444,1.0710016439234755,5.01,5.49,5.15
3142,-5.0,8.0,-23.0,-5.0,-8.0,3.0,4.0,10.72,11.67,10.31,1.2594458438287104,15.20295202952029,2015-08-07,6.401249024199852,9,300332,309,2.1903569488587302,8.972198753059121,12.71,15.96,19.94
3810,-5.0,12.0,-25.0,-5.0,-12.0,3.0,4.0,8.5,9.37,7.42,0.7106598984771617,7.869974337040197,2015-08-06,18.706467661691526,11,300261,389,2.571067983567466,7.883112016796119,10.64,13.37,20.96
4003,-3.0,12.0,-24.0,-3.0,-12.0,3.0,4.0,6.96,7.55,7.48,14.814814814814836,33.17535545023698,2015-08-06,19.33085501858736,12,300206,386,1.6894620310073716,8.581817154443755,8.47,11.83,19.44
4507,-7.0,12.0,-23.0,-7.0,-12.0,1.0,6.0,10.32,11.07,10.18,8.935361216730042,8.670033670033671,2016-03-09,26.79680567879325,29,300218,518,1.7219764080794184,4.765426226368991,11.62,13.01,17.56
5136,-3.0,10.0,-20.0,-3.0,-10.0,3.0,2.0,7.79,8.46,7.29,13.13131313131315,8.458646616541344,2015-08-06,22.518676627534703,11,300025,218,1.1980615449577494,8.268894078867584,9.37,11.81,19.76
6064,-5.0,13.0,-17.0,-5.0,-13.0,5.0,3.0,13.17,14.09,11.18,11.967090501121927,20.114942528735625,2015-08-10,3.5822707953855564,9,300308,366,2.458604288038882,13.11311318099361,15.51,19.59,29.03
6121,-5.0,15.0,-4.0,-5.0,-13.0,3.0,9.0,13.41,14.01,13.18,6.6573230553609095,18.324250681198922,2016-03-08,16.223067173637528,14,300234,517,2.1785026840731576,7.072743330965519,15.83,17.57,14.99
6200,-3.0,12.0,-7.0,-3.0,-12.0,3.0,6.0,9.66,10.18,9.57,13.567839195979927,8.047016274864372,2016-03-03,1.8372703412073528,7,300265,519,1.5783822720452358,3.941556474259639,11.31,12.06,11.85
6359,-2.0,11.0,-14.0,-2.0,-11.0,2.0,3.0,11.94,13.14,12.3,6.146926536731634,13.526912181303132,2016-03-03,2.1290751829674104,19,300056,330,0.4184977710763588,7.133967733363637,14.36,16.21,20.44
