gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
82,0.3817276913393607,30.24,27.67,0.14031476019842246,19.14,-10,-4,0,-10,2017-01-01,23.68,22.18,21.54,22.4,17823858.0,2017-01-01,22.18,22.4,6.0,-6.0,2.0,29.74,25.99,22.48,21.53,21.31,21.31,2.0,0.0,0.0,0.05213837926057931,0.009934989566628284,0.15665702142624305,0.02716608944346688,6.0,6.0,6.0,-6.0,26.66,603022,82,23.526785714285726,8.395677472984197,9.15662650602409,22.09,4.0,,,
92,0.33873801751171073,31.8,27.51,0.07383158342412852,22.09,4,2,4,4,2017-03-12,29.15,27.56,28.89,27.51,40535250.0,2017-03-12,27.56,27.51,-10.0,6.0,-6.0,30.24,29.74,25.99,19.14,21.53,21.31,-4.0,2.0,0.0,0.14031476019842246,0.05213837926057931,0.3817276913393607,0.15665702142624305,0.0,6.0,-10.0,6.0,22.18,603022,92,0.0,23.526785714285726,8.395677472984197,,,,,
0,0.024985693278373855,29.01,25.31,0.007219582738084221,18.57,-44,-14,-14,-44,2014-01-05,21.85,21.34,21.79,21.43,7340641.0,2014-01-05,21.34,21.43,,,,,,,,,,,,,,,,,,,,,,601336,0,18.105459636024257,,,27.59,19.0,70.11,-28.0,34.85
44,1.1380734258494545,59.55,55.16,0.3880381232493057,27.59,19,17,19,19,2014-11-09,29.71,27.59,28.61,27.85,88096029.0,2014-11-09,27.59,27.85,-44.0,,,29.01,,,18.57,,,-14.0,,,0.007219582738084221,,0.024985693278373855,,-14.0,,-44.0,,21.34,601336,44,98.0610412926391,18.105459636024257,,35.23,-28.0,57.32,12.0,34.63
63,1.202226050242852,70.11,65.0,0.3682985058726439,35.23,-28,-16,0,-28,2015-05-03,55.01,53.01,52.48,52.47,165121896.0,2015-05-03,53.01,52.47,19.0,-44.0,,59.55,29.01,,27.59,18.57,,17.0,-14.0,,0.3880381232493057,0.007219582738084221,1.1380734258494545,0.024985693278373855,19.0,-14.0,19.0,-44.0,27.59,601336,63,23.880312559557847,98.0610412926391,18.105459636024257,34.85,12.0,41.69,-11.0,38.38
91,0.762010850069026,57.32,54.05,0.21784526911317653,34.85,12,6,2,12,2015-11-15,52.22,46.65,49.9,47.55,169001515.0,2015-11-15,46.65,47.55,-28.0,19.0,-44.0,70.11,59.55,29.01,35.23,27.59,18.57,-16.0,17.0,-14.0,0.3682985058726439,0.3880381232493057,1.202226050242852,1.1380734258494545,0.0,19.0,-28.0,19.0,53.01,601336,91,13.669821240799163,23.880312559557847,98.0610412926391,34.63,-11.0,48.8,37.0,41.3
103,0.5412316301622899,41.69,39.12,0.18177590418227688,34.63,-11,-3,-11,-11,2016-02-07,37.18,36.27,36.17,35.62,77606312.0,2016-02-07,36.27,35.62,12.0,-28.0,19.0,57.32,70.11,59.55,34.85,35.23,27.59,6.0,-16.0,17.0,0.21784526911317653,0.3682985058726439,0.762010850069026,1.202226050242852,2.0,0.0,12.0,-28.0,46.65,601336,103,9.825940482874795,13.669821240799163,23.880312559557847,38.38,37.0,47.5,-11.0,
114,0.2270473131649437,48.8,46.61,0.0683341790380252,38.38,37,19,17,37,2016-05-01,40.12,39.37,39.25,39.62,46553515.0,2016-05-01,39.37,39.62,-11.0,12.0,-28.0,41.69,57.32,70.11,34.63,34.85,35.23,-3.0,6.0,-16.0,0.18177590418227688,0.21784526911317653,0.5412316301622899,0.762010850069026,-11.0,2.0,-11.0,12.0,36.27,601336,114,17.642604745078238,9.825940482874795,13.669821240799163,41.3,-11.0,,,
151,0.17358547191191492,47.5,45.91,0.053714828077621686,41.3,-11,-7,7,-11,2017-01-22,46.32,45.37,45.0,45.45,29073070.0,2017-01-22,45.37,45.45,37.0,-11.0,12.0,48.8,41.69,57.32,38.38,34.63,34.85,19.0,-3.0,6.0,0.0683341790380252,0.18177590418227688,0.2270473131649437,0.5412316301622899,17.0,-11.0,37.0,-11.0,39.37,601336,151,1.012101210121008,17.642604745078238,9.825940482874795,,,,,
0,0.21469961438691776,8.6,8.28,0.09040186160004711,4.95,-39,-17,-3,-39,2014-01-05,5.8,5.67,5.77,5.71,585801.0,2014-01-05,5.67,5.71,,,,,,,,,,,,,,,,,,,,,,600539,0,45.00875656742556,,,7.0,-18.0,19.2,17.0,8.38
