,startdate,len,len1,len3,maxh2,maxh3,len2,minl2,minl3,minl1,rat,sn,refid,maxang1,maxang2
15349,2016-02-01,15,-2.0,-17.0,32.97,48.55,6.0,24.73,28.1,24.61,24.169184290030213,300412,198,1.3390573251145854,4.746076922057543
15408,2016-02-04,11,-5.0,-15.0,16.33,19.68,6.0,12.88,12.93,12.29,6.675567423230967,300050,463,2.188766660749708,3.5925488980308677
16150,2016-02-01,16,-2.0,-15.0,54.15,73.72,7.0,41.59,46.51,41.71,41.06481481481481,300457,169,2.0431464438162936,6.160180030566682
16261,2016-02-03,12,-4.0,-17.0,24.75,30.45,7.0,18.95,19.5,17.97,11.03047895500724,300101,446,2.725244940048333,3.8358163406126695
16503,2016-02-02,13,-2.0,-19.0,49.29,70.35,7.0,37.82,39.35,37.44,11.600587371512482,300470,158,1.0724444682767895,13.013153791541512
17388,2016-02-02,13,-3.0,-15.0,39.3,49.73,7.0,30.91,32.3,30.39,9.470989761092174,300396,284,2.213523185140696,11.092952386822665
17407,2017-01-23,40,-5.0,-19.0,38.8,46.9,15.0,35.0,37.89,32.2,12.2289679098005,300396,521,3.788624905626124,4.373908807763663
17612,2016-02-03,12,-4.0,-16.0,40.92,56.68,6.0,32.19,34.69,31.46,10.192362905541222,300489,147,3.3370177349512624,8.138884461378813
18417,2017-01-24,34,-5.0,-18.0,22.59,29.8,18.0,18.44,20.1,17.89,15.643044619422565,300300,560,2.4382533827482233,2.9951042923712308
18843,2016-02-02,14,-4.0,-14.0,25.27,33.16,7.0,20.23,20.59,18.56,11.551155115511547,300253,460,2.025563902441788,6.402093972509363
19414,2016-02-03,13,-4.0,-18.0,22.97,33.18,7.0,17.76,18.94,16.66,12.310902451747507,300052,379,2.5184422357015097,4.7183617325929506
19819,2016-02-02,12,-3.0,-15.0,15.12,18.5,6.0,11.52,12.05,11.32,8.32719233603536,300287,375,1.4637286257429465,3.235386151673705
20197,2017-01-23,9,-3.0,-22.0,129.22,165.38,15.0,103.0,108.05,111.8,1.3101516150296757,300508,184,4.013081898344873,27.146201737157725
20585,2016-02-02,13,-2.0,-24.0,37.11,53.28,8.0,28.18,28.82,28.21,11.772274043100687,300085,376,1.1934209788821617,9.479385369236232
20795,2016-02-02,14,-3.0,-33.0,29.43,46.35,6.0,22.95,25.05,21.95,23.892100192678217,300236,508,2.3072924384839406,2.2771243854645227
21500,2016-02-04,11,-4.0,-16.0,102.47,129.1,6.0,76.91,80.7,70.74,17.460317460317462,300469,160,14.671239920319385,25.208124432763988
21751,2016-05-18,17,-6.0,-17.0,35.03,43.23,12.0,25.06,26.01,23.55,17.8036605657238,300392,340,3.3087885016413545,7.477193652929769
22039,2017-01-24,22,-7.0,-20.0,9.38,11.55,15.0,8.86,9.02,8.0,5.827505827505819,300181,623,1.085214643503435,1.101153140261626
22170,2016-02-02,23,-3.0,-16.0,26.41,36.55,6.0,19.85,21.45,19.05,40.04796163069544,300411,193,1.5272092148197682,5.743813049225565
22416,2014-04-09,11,-5.0,-15.0,20.04,24.78,11.0,16.0,17.22,15.55,4.882154882154888,300223,62,2.051552148620286,4.181991778002459
22476,2016-02-02,14,-2.0,-30.0,50.49,73.45,6.0,39.95,41.85,38.85,15.200368493781678,300478,160,1.3600189751611618,8.735830514115879
23084,2016-02-02,14,-3.0,-15.0,17.55,23.43,6.0,13.97,14.86,13.48,12.359550561797741,300391,368,1.5754461597399736,2.82004026028962
23515,2016-02-02,13,-3.0,-15.0,34.17,43.87,6.0,26.4,28.65,25.54,9.10379029401347,300416,252,2.918164214130605,4.901077223242333
26825,2016-03-14,19,-10.0,-29.0,30.78,41.05,19.0,23.14,23.84,23.6,28.430254656024328,300393,356,4.363052626636299,14.199292399653293
