,startdate,len,len1,len3,maxh2,maxh3,len2,minl2,minl3,minl1,rat,sn,refid,maxang1,maxang2
227,2017-01-23,22,-5.0,-16.0,29.5,37.18,15.0,26.25,28.31,23.72,7.57462686567163,300419,398,4.670489557610095,4.761606189224553
703,2016-02-02,14,-3.0,-14.0,38.88,52.88,6.0,28.57,29.49,26.06,27.427821522309713,300486,147,3.513313129545465,8.903124245502566
1181,2016-03-17,18,-13.0,-30.0,23.67,32.53,18.0,16.34,16.58,16.39,65.74267782426777,300441,148,5.561450104102334,9.848721131810306
1824,2016-02-03,13,-4.0,-23.0,15.14,21.74,6.0,11.8,12.39,11.2,27.92000000000001,300322,364,1.2831138031450269,1.6041379927264374
1911,2016-02-04,12,-5.0,-30.0,38.5,55.09,9.0,30.46,31.6,27.9,14.4932214331827,300418,189,4.327496808558172,8.447357243179175
2339,2016-02-03,13,-4.0,-14.0,16.78,21.5,7.0,12.97,14.36,12.85,13.140794223826726,300273,453,1.793338839692834,2.514908889342524
2567,2017-01-25,34,-6.0,-21.0,47.63,59.72,8.0,40.58,45.88,38.0,5.099289041431709,300431,322,4.1157678252559915,3.7452900245127547
3181,2016-02-02,14,-3.0,-15.0,24.89,33.85,6.0,19.93,21.89,19.51,18.944392082940627,300475,160,1.48098331727196,3.944704107636325
4256,2015-08-06,13,-4.0,-25.0,29.31,53.94,9.0,19.99,20.76,18.03,23.52941176470589,300004,366,4.228092928068604,15.793736603982884
4671,2017-01-12,3,-2.0,-17.0,97.2,135.0,7.0,82.9,90.56,82.35,0.0,300522,129,4.2739698069680765,13.215476078556437
5396,2016-02-03,14,-4.0,-14.0,34.66,46.57,6.0,28.32,31.12,26.87,21.45762711864405,300440,194,3.1592438999247934,5.827104289081867
6013,2016-02-02,13,-3.0,-18.0,27.21,34.98,8.0,19.85,21.51,19.8,6.581571599521331,300166,423,3.0357866858171767,7.69604277744809
6315,2017-01-23,14,-5.0,-21.0,23.85,28.82,15.0,21.26,22.03,19.3,4.327808471454886,300302,739,1.8234010465543944,2.94700432116041
6903,2016-02-04,11,-5.0,-30.0,63.47,88.22,6.0,51.26,54.82,47.83,14.451951951951948,300485,151,9.546052261816627,6.55072439319245
8380,2015-08-05,12,-3.0,-16.0,30.73,48.78,8.0,22.62,22.87,21.23,19.633401221995932,300199,234,1.7306392365266658,11.032989472833332
8563,2016-02-02,13,-3.0,-15.0,30.39,37.22,8.0,22.78,23.54,22.38,9.365325077399376,300359,393,3.1793472267386735,10.892980319341767
8663,2015-08-06,12,-3.0,-16.0,55.0,87.5,10.0,35.5,36.89,32.76,18.21257400620242,300295,295,6.890383268457532,33.930488028698285
8671,2016-02-02,13,-3.0,-44.0,37.3,63.99,6.0,28.93,31.24,28.56,11.646706586826339,300295,415,1.6132833221890217,7.859715682516803
8732,2014-12-15,4,-7.0,-25.0,30.3,36.5,7.0,25.97,26.7,24.2,0.0,300246,231,3.959768930163325,3.876914102870875
8931,2010-07-09,6,-13.0,-25.0,7.78,9.95,18.0,5.72,5.8,5.69,1.5197568389057723,300023,164,1.9720068892544451,2.994436153434728
9056,2016-06-24,12,-8.0,-31.0,26.91,37.71,13.0,21.95,22.08,21.5,21.817363922627074,300023,1509,2.4014178616733117,8.190884894501286
9532,2017-01-24,19,-6.0,-21.0,11.53,14.36,16.0,10.61,10.65,9.7,7.862407862407861,300345,661,1.6696975269299643,1.8641589472662847
9810,2016-02-02,14,-3.0,-14.0,26.76,36.44,7.0,20.55,21.46,20.18,25.572005383580088,300314,501,1.8598137165318296,4.422746806583059
9969,2015-08-06,13,-3.0,-24.0,25.41,44.48,10.0,16.63,16.99,14.97,20.444685466377436,300331,383,4.0233389799836905,16.369557043528268
10202,2016-02-03,13,-4.0,-20.0,14.02,18.95,6.0,11.79,12.45,10.7,15.664690939881453,300122,444,1.7874018290985692,1.2447046011253964
10769,2016-08-05,21,-6.0,-25.0,10.62,13.53,11.0,9.4,10.27,9.01,5.952380952380931,300157,463,1.1856423416453512,0.6190976746177159
10788,2014-05-06,4,-6.0,-16.0,12.14,15.78,7.0,10.6,11.02,9.8,0.0,300307,79,1.6554962875339765,2.023311688474942
11644,2017-01-23,23,-5.0,-21.0,17.4,21.32,8.0,16.4,16.68,14.8,5.0310559006211175,300059,689,1.0412170549936273,1.5003453995899267
11844,2016-02-03,12,-4.0,-17.0,29.28,38.78,7.0,22.13,22.49,22.22,17.260940032414922,300016,1464,2.7319816166612494,6.499805325295394
12148,2016-02-02,14,-2.0,-17.0,26.19,38.13,6.0,20.53,21.38,20.32,14.476021314387213,300371,495,1.1374699931960697,4.569010961140824
13310,2016-03-09,18,-7.0,-27.0,17.98,31.93,14.0,14.1,14.65,12.81,25.973106864826608,300257,500,2.933877535928364,9.224154702629297
13487,2016-02-01,13,-3.0,-18.0,29.09,38.68,6.0,24.79,25.95,23.11,12.377977352596648,300203,428,2.5870438436219563,2.387169598261492
13596,2015-08-05,13,-3.0,-17.0,12.1,19.19,7.0,8.37,9.1,7.82,12.514220705346998,300006,348,1.006050624853095,4.004144882872541
13693,2017-01-23,17,-5.0,-12.0,34.9,41.94,12.0,30.75,31.99,28.26,2.756160830090804,300238,627,3.481526197480473,3.7691618102566946
15149,2016-02-03,12,-4.0,-11.0,25.12,34.87,7.0,19.22,19.43,18.53,14.6469465648855,300049,442,2.6082948967640753,6.0587673740052965
