gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
123,0.07789310553168982,17.97,16.98,0.029345213098238315,15.8,6,2,8,6,2016-07-03,16.8,16.25,15.56,16.0,26439716.0,2016-07-03,16.25,16.0,11.0,-10.0,12.0,17.38,17.32,18.96,14.8,11.64,12.56,-1.0,-4.0,6.0,0.06697247605845635,0.16941510844135818,0.1895568988777664,0.5088233780964361,11.0,-4.0,11.0,-10.0,15.96,300138,123,6.125000000000003,2.183406113537112,38.16013628620101,15.88,-9.0,20.15,9.0,17.4
131,0.07964033298799728,18.86,17.73,0.023408326933939974,15.88,-9,-7,9,-9,2016-08-28,16.6,16.16,16.59,16.22,10063918.0,2016-08-28,16.16,16.22,6.0,11.0,-10.0,17.97,17.38,17.32,15.8,14.8,11.64,2.0,-1.0,-4.0,0.029345213098238315,0.06697247605845635,0.07789310553168982,0.1895568988777664,8.0,11.0,6.0,11.0,16.25,300138,131,9.309494451294697,6.125000000000003,2.183406113537112,17.43,9.0,19.96,-9.0,18.66
140,0.21545890296240633,20.15,19.17,0.08168598387274446,17.43,9,3,9,9,2016-11-06,19.77,18.38,18.4,18.38,24291316.0,2016-11-06,18.38,18.38,-9.0,6.0,11.0,18.86,17.97,17.38,15.88,15.8,14.8,-7.0,2.0,-1.0,0.023408326933939974,0.029345213098238315,0.07964033298799728,0.07789310553168982,9.0,8.0,-9.0,6.0,16.16,300138,140,4.298150163220904,9.309494451294697,6.125000000000003,17.4,-9.0,20.0,4.0,
149,0.15485936168865067,19.96,19.15,0.04751758201313276,17.4,-9,-3,9,-9,2017-01-08,18.53,18.0,18.41,18.0,8832101.0,2017-01-08,18.0,18.0,9.0,-9.0,6.0,20.15,18.86,17.97,17.43,15.88,15.8,3.0,-7.0,2.0,0.08168598387274446,0.023408326933939974,0.21545890296240633,0.07964033298799728,9.0,9.0,9.0,-9.0,18.38,300138,149,6.388888888888888,4.298150163220904,9.309494451294697,18.66,4.0,,,
158,0.07163084146556398,20.0,19.5,0.025989667517106876,18.66,4,4,4,4,2017-03-12,20.0,19.34,19.75,19.5,10168132.0,2017-03-12,19.34,19.5,-9.0,9.0,-9.0,19.96,20.15,18.86,17.4,17.43,15.88,-3.0,3.0,-7.0,0.04751758201313276,0.08168598387274446,0.15485936168865067,0.21545890296240633,9.0,9.0,-9.0,9.0,18.0,300138,158,0.0,6.388888888888888,4.298150163220904,,,,,
0,0.4973021749886477,18.21,17.45,0.20189092332290348,10.5,-38,-8,-18,-38,2014-01-05,12.65,11.47,11.53,12.65,23162025.0,2014-01-05,11.47,12.65,,,,,,,,,,,,,,,,,,,,,,300021,0,37.94466403162053,,,13.01,-17.0,26.99,16.0,9.7
46,0.511322279162638,16.98,15.89,0.15566226306203226,13.01,-17,-9,-1,-17,2014-11-30,16.98,15.58,16.23,15.89,62616465.0,2014-11-30,15.58,15.89,-38.0,,,18.21,,,10.5,,,-8.0,,,0.20189092332290348,,0.4973021749886477,,-18.0,,-38.0,,11.47,300021,46,0.0,37.94466403162053,,11.94,16.0,18.0,-17.0,11.8
63,0.6942327146734866,26.99,23.89,0.1906933985695671,11.94,16,12,16,16,2015-03-29,16.85,15.75,16.0,15.89,81848943.0,2015-03-29,15.75,15.89,-17.0,-38.0,,16.98,18.21,,13.01,10.5,,-9.0,-8.0,,0.15566226306203226,0.20189092332290348,0.511322279162638,0.4973021749886477,-1.0,-18.0,-17.0,-38.0,15.58,300021,63,50.346129641283824,0.0,37.94466403162053,9.7,-17.0,18.23,12.0,12.0
79,0.9537992707616156,18.0,15.51,0.2861366790212139,9.7,-17,-9,-17,-17,2015-07-19,15.18,13.91,13.13,13.13,68863260.0,2015-07-19,13.91,13.13,16.0,-17.0,-38.0,26.99,16.98,18.21,11.94,13.01,10.5,12.0,-9.0,-8.0,0.1906933985695671,0.15566226306203226,0.6942327146734866,0.511322279162638,16.0,-1.0,16.0,-17.0,15.75,300021,79,18.12642802741813,50.346129641283824,0.0,11.8,12.0,16.91,-8.0,15.49
96,0.9403107451138367,18.23,16.63,0.26387816941784215,11.8,12,6,6,12,2015-11-15,16.78,15.25,15.45,15.29,89668629.0,2015-11-15,15.25,15.29,-17.0,16.0,-17.0,18.0,26.99,16.98,9.7,11.94,13.01,-9.0,12.0,-9.0,0.2861366790212139,0.1906933985695671,0.9537992707616156,0.6942327146734866,-17.0,16.0,-17.0,16.0,13.91,300021,96,8.763897972531076,18.12642802741813,50.346129641283824,12.0,-8.0,20.3,17.0,16.68
108,0.43995314470622304,16.91,15.83,0.1523597033529403,12.0,-8,-4,-6,-8,2016-02-07,13.18,12.51,12.4,12.44,18141340.0,2016-02-07,12.51,12.44,12.0,-17.0,16.0,18.23,18.0,26.99,11.8,9.7,11.94,6.0,-9.0,12.0,0.26387816941784215,0.2861366790212139,0.9403107451138367,0.9537992707616156,6.0,-17.0,12.0,-17.0,15.25,300021,108,27.2508038585209,8.763897972531076,18.12642802741813,15.49,17.0,21.33,-30.0,17.96
