,len1,len2,len3,prlendif1,prlendif2,postrix1,postrix2,minl1,minl2,minl3,prrat1,prrat2,startdate,rat,len,sn,refid,maxang1,maxang2,maxh1,maxh2,maxh3
58623,-6.0,14.0,-21.0,-6.0,-14.0,2.0,6.0,8.88,9.77,9.33,10.462555066079293,10.526315789473696,2016-03-08,43.40931615460853,23,2091,388,1.7358758428960492,4.3838046418590215,10.19,11.78,17.31
59466,-4.0,15.0,-22.0,-4.0,-15.0,4.0,5.0,10.2,10.58,8.03,17.129629629629623,17.15160796324655,2015-08-31,0.0,3,952,286,3.117644487479895,12.541194896853456,12.65,15.53,23.88
61359,-5.0,13.0,-5.0,-5.0,-13.0,5.0,7.0,15.7,16.5,15.7,9.402241594022431,13.391812865497064,2016-03-07,0.0,5,768,1045,2.8285180999890587,7.020840837758311,18.16,19.79,18.46
61949,-3.0,16.0,-18.0,-3.0,-16.0,3.0,8.0,11.8,13.01,11.14,20.96518987341771,10.443037974683532,2016-03-04,0.0,5,657,599,2.361840350365522,12.935087812646088,15.29,18.29,27.7
62060,-3.0,12.0,-5.0,-3.0,-12.0,3.0,6.0,5.71,6.21,6.05,13.5042735042735,7.598784194528885,2016-03-03,19.85185185185185,24,2302,494,1.0796627354610988,2.027820779772367,6.64,7.12,6.63
62122,-3.0,13.0,-5.0,-3.0,-13.0,3.0,7.0,4.17,4.39,4.31,8.430913348946145,10.367170626349909,2016-03-03,9.15032679738561,31,2498,492,0.401871480767925,2.239997712433728,4.63,5.17,4.88
62360,-3.0,9.0,-13.0,-3.0,-9.0,1.0,1.0,12.63,13.82,12.42,10.134600158353123,8.863771564544919,2015-08-06,23.63378282469839,12,2449,352,2.022812638663304,8.6254518357556,14.49,19.48,25.42
63149,-7.0,14.0,-2.0,-7.0,-14.0,1.0,10.0,6.8,7.18,6.9,5.446927374301679,13.557046979865772,2016-03-09,24.581724581724586,21,611,916,1.2403560124209134,2.6585255739682108,7.77,8.72,7.62
63284,-5.0,11.0,-10.0,-5.0,-11.0,3.0,5.0,9.48,10.16,9.38,7.456588355464766,9.800362976406538,2016-03-07,17.932296431838978,19,2282,515,1.7802930173007598,5.256775648105478,10.81,12.29,14.82
64041,-6.0,14.0,-16.0,-6.0,-14.0,6.0,6.0,12.88,13.8,13.17,8.486238532110079,12.71067415730338,2016-03-08,25.070422535211282,26,2527,429,1.7343532247345868,7.12613269486668,14.6,16.35,21.83
64576,-6.0,12.0,-9.0,-6.0,-12.0,6.0,6.0,17.61,19.0,17.34,13.966480446927367,8.904761904761905,2016-03-08,30.934150076569683,22,2551,440,2.98277510116582,9.206384026060727,21.6,23.58,25.68
65756,-4.0,9.0,12.0,-4.0,-11.0,2.0,11.0,4.7,5.11,5.1,6.7829457364340975,16.85393258426966,2005-12-08,8.495575221238937,14,22,3037,0.7688769491556297,1.3910127591082302,5.52,6.6,6.89
66538,-5.0,13.0,-3.0,-5.0,-7.0,3.0,11.0,15.08,16.19,15.13,10.918854415274449,11.642651296829975,2016-06-06,2.660642570281113,20,997,503,4.428317366948664,7.633426812295361,18.59,19.59,16.52
66752,-4.0,14.0,-3.0,-4.0,-14.0,4.0,12.0,7.17,7.55,7.24,9.041095890410952,9.578544061302674,2016-03-04,21.148825065274135,17,2420,527,1.1172406449390884,2.5704036116037634,8.07,8.63,7.76
66884,-3.0,14.0,-4.0,-3.0,-14.0,3.0,8.0,7.61,8.05,7.72,9.731113956466086,9.296781883194269,2016-03-03,9.090909090909085,32,931,480,0.9019508941926746,3.1267194738630586,8.59,9.19,8.51
67374,-4.0,14.0,-4.0,-4.0,-14.0,4.0,8.0,5.23,5.45,5.31,7.089552238805963,7.067137809187264,2016-03-04,9.219858156028373,25,2342,515,0.5356658975198411,1.47555809515239,5.85,6.1,5.69
67571,-7.0,9.0,-15.0,-7.0,-9.0,1.0,3.0,26.5,27.98,26.66,3.1687546057479703,12.625737079431154,2016-06-23,8.21511052457935,19,2717,464,3.5185795725357307,10.705909649719336,28.38,32.95,37.39
67778,-4.0,15.0,-2.0,-4.0,-13.0,4.0,13.0,12.16,12.64,12.17,15.072933549432733,8.788093550673294,2016-03-04,15.496017378711072,18,2748,235,2.945352140130378,5.243810103825188,14.37,15.39,13.11
68893,-3.0,15.0,7.0,-3.0,-17.0,3.0,17.0,14.08,15.15,15.15,13.076393668272535,10.59050064184852,2016-03-03,17.308868501529037,21,728,1063,1.772288456281344,4.209468269777251,16.56,17.38,18.35
69291,-5.0,12.0,-24.0,-5.0,-12.0,5.0,4.0,9.63,9.95,10.0,7.925636007827785,12.399643175735942,2016-03-08,25.0,23,2176,412,1.1024728920935272,5.506516637546261,11.46,12.92,18.35
69535,-5.0,13.0,-4.0,-5.0,-9.0,1.0,9.0,38.0,40.69,39.33,6.6507747318236055,13.816721776098227,2016-03-04,2.5495750708215192,4,2718,485,10.130276153602274,14.67184701497468,47.0,48.47,42.98
69662,-5.0,22.0,-13.0,-5.0,-20.0,1.0,12.0,4.57,4.71,4.77,11.206896551724157,10.020040080160332,2016-03-07,0.0,4,2062,515,0.8349337763240845,1.322503033419176,5.47,5.64,6.93
69702,-6.0,13.0,-18.0,-6.0,-13.0,2.0,5.0,27.14,29.9,20.75,0.0,25.0,2015-08-10,27.80207763805358,10,2517,162,8.003954724398195,33.97689331823702,34.86,43.22,70.01
69838,-6.0,12.0,-19.0,-6.0,-12.0,2.0,4.0,8.99,9.65,7.71,3.689320388349504,9.23330585325639,2015-08-07,32.31292517006803,10,2053,380,2.278053894336837,9.20114292561425,11.24,13.78,21.43
70823,-6.0,13.0,-17.0,-6.0,-13.0,2.0,3.0,23.61,25.94,22.09,12.100638977635779,13.021868787276334,2016-03-08,65.38983050847457,25,2174,327,7.080784692168303,17.93025177453377,28.28,35.61,47.89
70875,-3.0,14.0,-24.0,-3.0,-14.0,3.0,6.0,13.32,13.94,11.01,14.932767162066508,15.826911677534072,2015-08-06,20.985507246376823,11,2273,355,2.265138735017502,16.89960516297219,16.93,20.72,32.27
71062,-6.0,14.0,-3.0,-6.0,-14.0,2.0,8.0,7.92,8.36,8.18,9.405940594059414,17.972350230414747,2016-03-08,14.972677595628413,29,837,995,1.5687731226172104,5.379121331164514,9.28,10.45,8.96
72539,-6.0,13.0,-5.0,-6.0,-13.0,4.0,7.0,6.6,6.87,6.5,10.119047619047628,15.568022440392705,2016-03-08,0.0,2,2526,503,1.0516538930991466,3.591413691523049,7.55,8.49,7.47
73357,-5.0,13.0,-42.0,-5.0,-13.0,3.0,9.0,9.31,9.65,8.66,5.960945529290852,12.104283054003705,2016-03-08,32.84804367606915,19,2291,511,1.4745952937453544,5.839296200060503,10.77,12.16,18.2
73425,-5.0,14.0,-3.0,-5.0,-14.0,5.0,8.0,8.91,9.58,9.52,7.938257993384767,8.955223880596996,2016-03-07,12.680412371134018,30,2344,501,1.1526094080692029,3.906179242225748,10.06,11.07,10.34
74350,-6.0,9.0,-33.0,-6.0,-9.0,2.0,3.0,26.51,29.82,27.25,4.175152749490828,14.495798319327724,2015-08-10,0.0,7,555,768,5.756148514115736,20.00019595549423,31.21,39.47,56.23
75398,-4.0,13.0,-4.0,-4.0,-13.0,4.0,9.0,9.44,9.98,9.44,11.191709844559592,13.191076624636278,2016-03-04,35.260115606936395,24,99,1065,1.6138339838788225,4.628964650695208,11.03,11.78,10.38
75473,-6.0,13.0,-3.0,-6.0,-11.0,2.0,9.0,9.69,10.24,9.4,2.883720930232569,11.43641354071363,2016-03-07,321.7543859649123,41,2352,528,2.028625880577974,4.724639059223929,11.36,12.22,10.43
75535,-3.0,12.0,-16.0,-3.0,-12.0,3.0,6.0,8.3,8.89,8.6,9.196740395809087,7.36842105263158,2016-03-03,13.029989658738362,32,2501,510,1.089131673333519,3.250011689345456,9.4,10.34,12.37
75590,-3.0,13.0,-5.0,-3.0,-13.0,3.0,5.0,4.9,5.19,5.16,9.325396825396817,9.107806691449817,2016-03-03,12.046204620462065,25,2663,456,0.3815950568521153,1.897457367701216,5.54,5.92,5.74
75703,-4.0,10.0,-7.0,-4.0,-2.0,2.0,6.0,8.56,9.01,8.36,6.176783812566566,10.355987055016193,2016-03-03,10.111223458038431,14,951,526,1.696842137305029,1.9848204696350256,10.09,10.31,9.8
75816,-3.0,9.0,-26.0,-3.0,-9.0,3.0,3.0,17.91,19.47,17.16,12.763596004439526,12.978369384359409,2015-08-06,21.461824953445067,12,2364,366,2.9031929251579216,16.274711021793053,21.82,28.1,42.79
76403,-5.0,15.0,-3.0,-5.0,-15.0,5.0,9.0,6.9,7.21,6.89,9.103840682788043,11.455525606469008,2016-03-07,13.245033112582783,29,417,1063,0.956527410438708,2.5758350008231954,7.77,8.34,7.65
77454,-2.0,9.0,-19.0,-2.0,-9.0,2.0,3.0,7.35,7.83,7.57,8.885941644562331,7.724425887265141,2015-08-05,17.589175891758902,13,2453,357,0.18151798793614807,5.108950933713074,8.22,10.49,15.66
78047,-3.0,14.0,-21.0,-3.0,-14.0,3.0,4.0,4.79,4.95,4.23,11.68032786885247,11.9281045751634,2015-08-06,15.221238938053096,11,2510,389,0.7688542426515583,4.936403999916596,5.68,6.98,11.44
78061,-3.0,10.0,-8.0,-3.0,-10.0,3.0,4.0,4.85,5.21,5.08,8.203125,8.672566371681413,2016-03-03,0.0,6,2510,526,0.6444344263196008,1.9317030145532996,5.57,6.24,6.22
78909,-3.0,13.0,-5.0,-3.0,-13.0,3.0,7.0,4.41,4.58,4.34,14.888888888888884,9.894736842105267,2016-03-03,0.0,6,965,526,0.4360358760613306,1.928525471577772,5.17,5.37,4.94
79047,-7.0,12.0,-19.0,-7.0,-12.0,1.0,6.0,12.0,12.94,12.27,9.268292682926816,10.035842293906816,2016-03-09,10.418195157740273,15,2296,469,2.3014089422928947,6.288900420111723,13.72,15.53,21.7
81140,-6.0,13.0,-5.0,-6.0,-13.0,6.0,5.0,8.19,8.8,8.59,9.254807692307686,13.001083423618633,2016-03-08,17.361894024802726,29,541,1057,1.2580567430937972,5.017029492755591,9.23,10.79,9.74
