,0
59,"SH601678,SW:230,do[3-1]_Wdooutout,SD:411,up[2-2]_Dupoutout"
60,"SH600019,SW:320,do[7-3]_Wdooutout,SD:230,up[1-2]_Dupoutout"
61,"SH600528,SW:240,do[1-2]_Wdooutout,SD:141,up[1-4]_Dupoutout"
62,"SH601058,SW:140,up[5-3]_Wupoutout,SD:411,do[2-5]_Ddoinin"
63,"SH600747,SW:411,do[4-5]_Wdoinin,SD:231,do[8-2]_Ddooutout"
64,"SH600630,SW:140,up[6-1]_Wupoutout,SD:241,up[2-9]_Dupoutout"
65,"SH600251,SW:240,up[7-5]_Wupoutout,SD:411,up[4-7]_Dupoutout"
66,"SH600086,SW:240,do[1-2]_Wdooutout,SD:241,up[1-2]_Dupoutout"
67,"SH601636,SW:321,do[4-2]_Wdooutout,SD:230,do[3-1]_Ddooutout"
68,"SH600099,SW:240,up[4-3]_Wupoutout,SD:411,do[3-1]_Ddoinin"
69,"SH600180,SW:140,do[3-1]_Wdooutout,SD:141,up[3-1]_Dupoutout"
70,"SH600176,SW:321,up[3-1]_Wupoutout,SD:321,do[9-1]_Ddooutout"
71,"SH600118,SW:411,up[8-3]_Wupoutout,SD:411,up[3-3]_Dupinin"
72,"SH603019,SW:421,do[1-6]_Wdooutout,SD:230,do[6-2]_Ddooutout"
73,"SH600067,SW:240,up[9-4]_Wupoutout,SD:411,do[1-1]_Ddoinin"
74,"SH600531,SW:240,do[5-1]_Wdooutout,SD:141,do[2-1]_Ddoinout"
75,"SH600406,SW:320,do[8-4]_Wdooutout,SD:230,do[2-4]_Ddooutout"
76,"SH601198,SW:140,do[3-4]_Wdooutout,SD:140,up[5-2]_Dupoutout"
77,"SH603822,SW:140,do[8-10]_Wdooutout,SD:241,up[4-9]_Dupoutout"
78,"SH600328,SW:411,do[7-1]_Wdooutin,SD:421,do[2-2]_Ddooutout"
79,"SH600207,SW:411,up[9-2]_Wupoutout,SD:411,do[4-1]_Ddoinin"
80,"SH600839,SW:410,do[2-4]_Wdoinin,SD:240,up[4-1]_Dupoutout"
81,"SH601158,SW:240,up[5-3]_Wupoutout,SD:411,up[3-2]_Dupinin"
82,"SH600380,SW:420,do[5-6]_Wdooutout,SD:230,do[8-4]_Ddooutout"
83,"SH600301,SW:140,up[11-3]_Wupoutout,SD:411,do[8-1]_Ddooutin"
84,"SH600131,SW:141,up[3-5]_Wupoutout,SD:411,up[7-6]_Dupinin"
85,"SH603861,SW:140,up[8-2]_Wupoutout,SD:411,up[4-5]_Dupoutout"
86,"SH600824,SW:140,up[8-4]_Wupoutout,SD:411,up[1-4]_Dupoutin"
87,"SH600983,SW:140,up[2-2]_Wupoutout,SD:411,up[1-5]_Dupoutout"
88,"SH600609,SW:240,up[6-2]_Wupoutout,SD:411,do[4-4]_Ddooutin"
89,"SH601107,SW:240,do[1-3]_Wdooutout,SD:141,up[5-1]_Dupoutout"
90,"SH600535,SW:140,do[7-4]_Wdooutout,SD:240,up[4-2]_Dupoutout"
91,"SH603116,SW:140,up[5-3]_Wupoutout,SD:141,up[1-3]_Dupoutout"
92,"SH600388,SW:230,up[6-2]_Wupoutout,SD:411,do[7-1]_Ddooutin"
93,"SH600893,SW:141,up[6-3]_Wupoutout,SD:411,do[7-3]_Ddooutin"
94,"SH600230,SW:230,up[9-2]_Wupoutout,SD:140,do[4-2]_Ddooutout"
95,"SH600828,SW:240,up[2-1]_Wupoutout,SD:411,do[9-1]_Ddooutin"
96,"SH600331,SW:140,up[5-3]_Wupoutout,SD:411,do[7-1]_Ddooutin"
97,"SH603828,SW:140,up[3-3]_Wupoutout,SD:411,up[2-5]_Dupoutout"
98,"SH600401,SW:141,up[11-3]_Wupoutout,SD:411,do[5-3]_Ddooutin"
99,"SH600759,SW:140,up[9-3]_Wupoutout,SD:140,do[2-6]_Ddooutout"
100,"SH601155,SW:321,up[2-2]_Wupoutout,SD:230,do[1-5]_Ddooutout"
101,"SH603010,SW:231,up[2-2]_Wupoutout,SD:411,up[1-4]_Dupoutout"
102,"SH601999,SW:240,up[3-2]_Wupoutout,SD:411,do[15-1]_Ddooutin"
103,"SH600688,SW:230,do[5-4]_Wdooutout,SD:240,up[5-2]_Dupoutout"
104,"SH600080,SW:140,do[1-2]_Wdooutout,SD:241,do[4-5]_Ddooutout"
105,"SH600502,SW:140,up[9-3]_Wupoutout,SD:411,do[6-3]_Ddooutin"
106,"SH600105,SW:140,up[10-1]_Wupoutout,SD:241,do[6-4]_Ddooutout"
107,"SH603166,SW:140,do[3-1]_Wdooutout,SD:411,do[4-4]_Ddooutin"
108,"SH600161,SW:230,do[9-2]_Wdooutout,SD:240,do[8-6]_Ddooutout"
109,"SH600836,SW:140,do[3-1]_Wdooutout,SD:411,up[2-3]_Dupoutout"
110,"SH600555,SW:140,up[8-2]_Wupoutout,SD:241,up[4-8]_Dupoutout"
111,"SH600373,SW:240,up[2-2]_Wupoutout,SD:411,up[1-3]_Dupinin"
112,"SH600138,SW:140,do[2-2]_Wdooutout,SD:140,do[1-5]_Ddoinout"
113,"SH600467,SW:140,up[10-2]_Wupoutout,SD:411,up[1-3]_Dupinin"
114,"SH601139,SW:140,do[5-1]_Wdooutout,SD:411,do[3-1]_Ddooutin"
115,"SH603618,SW:140,do[4-2]_Wdooutout,SD:140,up[3-1]_Dupoutout"
116,"SH600797,SW:240,up[12-2]_Wupoutout,SD:411,up[9-13]_Dupoutout"
117,"SH600370,SW:140,up[9-3]_Wupoutout,SD:411,do[8-1]_Ddooutin"
118,"SH600425,SW:411,up[4-2]_Wupinin,SD:411,do[7-1]_Ddooutin"
119,"SH600685,SW:240,do[3-5]_Wdooutout,SD:140,up[1-2]_Dupoutout"
120,"SH600866,SW:140,up[8-6]_Wupoutout,SD:411,up[3-8]_Dupinin"
121,"SH603160,SW:121,do[3-6]_Wdoinout,SD:230,do[6-2]_Ddooutout"
122,"SH600766,SW:240,up[5-3]_Wupoutout,SD:411,do[2-1]_Ddoinin"
123,"SH600790,SW:240,do[1-1]_Wdooutout,SD:141,do[1-2]_Ddooutout"
124,"SH600463,SW:240,up[2-2]_Wupoutout,SD:411,up[3-8]_Dupoutout"
125,"SH600475,SW:240,do[2-1]_Wdooutout,SD:411,do[2-1]_Ddoinin"
126,"SH600052,SW:140,up[8-3]_Wupoutout,SD:411,up[4-8]_Dupoutout"
127,"SH600577,SW:240,do[3-1]_Wdooutout,SD:411,do[1-2]_Ddoinin"
128,"SH601018,SW:230,do[3-7]_Wdooutout,SD:240,up[8-1]_Dupoutout"
129,"SH600410,SW:411,up[12-2]_Wupinin,SD:411,do[6-2]_Ddooutin"
130,"SH601601,SW:320,do[5-5]_Wdooutout,SD:230,up[4-1]_Dupoutout"
131,"SH600774,SW:411,do[4-11]_Wdooutin,SD:230,do[3-1]_Ddooutout"
132,"SH600069,SW:230,do[3-1]_Wdooutout,SD:410,up[1-5]_Dupinin"
133,"SH603069,SW:111,up[8-3]_Wupinin,SD:411,do[7-1]_Ddoinin"
134,"SH603002,SW:411,do[3-2]_Wdoinin,SD:321,up[4-8]_Dupoutout"
135,"SH601016,SW:411,up[5-3]_Wupinin,SD:411,up[2-3]_Dupoutout"
136,"SH603979,SW:140,up[3-3]_Wupoutout,SD:411,up[3-8]_Dupoutout"
137,"SH603399,SW:420,do[5-2]_Wdooutout,SD:230,up[11-2]_Dupoutout"
138,"SH600021,SW:240,up[1-1]_Wupoutout,SD:141,do[5-5]_Ddooutout"
139,"SH603123,SW:140,up[1-3]_Wupoutout,SD:411,do[3-1]_Ddooutin"
140,"SH600735,SW:411,do[7-3]_Wdooutin,SD:230,do[2-4]_Ddooutout"
141,"SH601038,SW:140,up[7-2]_Wupoutout,SD:411,do[9-1]_Ddooutin"
142,"SH600237,SW:140,up[8-3]_Wupoutout,SD:411,do[6-2]_Ddooutin"
143,"SH603099,SW:140,up[11-2]_Wupoutout,SD:141,up[1-3]_Dupoutout"
144,"SH600418,SW:140,up[7-3]_Wupoutout,SD:411,do[6-2]_Ddooutin"
145,"SH603268,SW:411,up[9-4]_Wupoutout,SD:411,up[2-3]_Dupoutout"
146,"SH600846,SW:230,up[9-3]_Wupoutout,SD:411,do[8-1]_Ddooutin"
147,"SH603766,SW:140,do[1-1]_Wdooutout,SD:411,up[3-2]_Dupoutout"
148,"SH600719,SW:240,up[2-3]_Wupoutout,SD:411,up[3-3]_Dupoutin"
149,"SH603999,SW:140,up[9-3]_Wupoutout,SD:411,do[5-4]_Ddooutin"
150,"SH600287,SW:411,up[1-3]_Wupoutout,SD:411,do[1-2]_Ddoinin"
151,"SH603688,SW:420,do[2-5]_Wdooutout,SD:230,do[10-5]_Ddooutout"
152,"SH603601,SW:240,do[1-4]_Wdooutout,SD:140,up[3-2]_Dupoutout"
153,"SH600122,SW:241,up[5-4]_Wupoutout,SD:411,do[2-6]_Ddoinin"
154,"SH600420,SW:240,do[2-9]_Wdooutout,SD:411,do[4-3]_Ddooutin"
155,"SH600612,SW:230,up[3-2]_Wupoutout,SD:411,up[3-4]_Dupoutout"
156,"SH600432,SW:411,up[3-2]_Wupinin,SD:230,do[2-4]_Ddooutout"
157,"SH603022,SW:140,do[3-2]_Wdooutout,SD:141,up[5-8]_Dupoutout"
158,"SH601336,SW:321,up[3-1]_Wupoutout,SD:230,up[3-1]_Dupoutout"
159,"SH600539,SW:230,up[2-1]_Wupoutout,SD:140,up[8-5]_Dupoutout"
160,"SH600166,SW:140,do[3-10]_Wdoinout,SD:241,do[7-2]_Ddooutout"
161,"SH600319,SW:321,up[3-3]_Wupoutout,SD:421,do[4-6]_Ddoinout"
162,"SH600293,SW:240,up[9-3]_Wupoutout,SD:240,up[1-4]_Dupoutout"
163,"SH603101,SW:140,up[9-4]_Wupinout,SD:411,up[1-3]_Dupoutin"
164,"SH600917,SW:411,up[2-3]_Wupoutin,SD:411,up[2-4]_Dupinin"
165,"SH600621,SW:421,do[6-1]_Wdooutout,SD:420,do[2-1]_Ddooutout"
166,"SH600682,SW:230,do[4-5]_Wdooutout,SD:321,up[2-4]_Dupoutout"
167,"SH600746,SW:240,do[2-2]_Wdooutout,SD:411,up[4-1]_Dupinin"
168,"SH603806,SW:410,do[10-6]_Wdooutin,SD:241,up[1-3]_Dupoutout"
169,"SH603189,SW:111,up[6-2]_Wupinin,SD:241,up[1-3]_Dupoutout"
170,"SH600299,SW:140,do[4-3]_Wdoinout,SD:140,do[7-2]_Ddooutout"
171,"SH601669,SW:230,up[1-6]_Wupoutout,SD:411,do[4-8]_Ddoinin"
172,"SH600530,SW:411,up[2-1]_Wupinin,SD:320,up[8-6]_Dupoutout"
173,"SH603318,SW:421,up[6-7]_Wupinout,SD:321,do[5-5]_Ddooutout"
174,"SH603939,SW:421,up[6-2]_Wupoutout,SD:321,do[1-1]_Ddooutout"
175,"SH600582,SW:140,do[2-2]_Wdooutout,SD:411,up[1-4]_Dupoutout"
176,"SH600103,SW:140,do[2-2]_Wdooutout,SD:411,up[3-1]_Dupinin"
177,"SH603606,SW:411,up[1-3]_Wupinin,SD:230,do[3-6]_Ddoinout"
178,"SH603508,SW:140,do[1-1]_Wdooutout,SD:241,do[2-1]_Ddooutout"
179,"SH600297,SW:420,do[2-8]_Wdooutout,SD:241,do[5-5]_Ddooutout"
180,"SH601225,SW:230,do[3-2]_Wdooutout,SD:240,up[7-6]_Dupoutout"
181,"SH600834,SW:140,do[4-1]_Wdooutout,SD:411,do[14-10]_Ddooutin"
182,"SH600704,SW:230,up[10-2]_Wupoutout,SD:241,up[4-1]_Dupoutout"
183,"SH600623,SW:140,do[2-2]_Wdooutout,SD:411,up[3-3]_Dupoutout"
184,"SH603355,SW:240,up[6-2]_Wupoutout,SD:411,up[1-4]_Dupoutin"
185,"SH603569,SW:140,up[5-4]_Wupoutout,SD:411,do[4-5]_Ddooutin"
186,"SH600307,SW:230,do[3-1]_Wdooutout,SD:140,up[3-2]_Dupoutout"
187,"SH600711,SW:230,do[3-1]_Wdooutout,SD:140,do[4-3]_Ddoinout"
188,"SH600321,SW:140,up[6-5]_Wupoutout,SD:140,up[5-1]_Dupoutout"
189,"SH600637,SW:140,do[2-2]_Wdooutout,SD:141,up[3-2]_Dupoutout"
190,"SH600854,SW:240,up[6-2]_Wupoutout,SD:411,up[3-8]_Dupoutout"
191,"SH600515,SW:420,do[2-1]_Wdooutout,SD:230,do[3-5]_Ddooutout"
192,"SH601611,SW:141,up[12-3]_Wupoutout,SD:411,do[1-2]_Ddoinin"
193,"SH601800,SW:240,do[3-6]_Wdooutout,SD:140,up[5-2]_Dupoutout"
194,"SH603699,SW:421,up[4-3]_Wupoutout,SD:230,do[5-5]_Ddooutout"
195,"SH601166,SW:230,do[3-2]_Wdooutout,SD:240,up[3-1]_Dupoutout"
196,"SH603456,SW:411,up[3-5]_Wupinin,SD:411,up[4-10]_Dupoutout"
197,"SH601688,SW:230,do[1-4]_Wdooutout,SD:140,up[5-2]_Dupoutout"
198,"SH603599,SW:421,up[6-2]_Wupinout,SD:321,up[1-2]_Dupoutout"
199,"SH600635,SW:140,up[5-3]_Wupoutout,SD:411,do[3-1]_Ddoinin"
200,"SH600571,SW:141,up[8-5]_Wupoutout,SD:411,up[2-3]_Dupinin"
201,"SH600676,SW:140,up[5-3]_Wupoutout,SD:411,up[2-3]_Dupoutout"
202,"SH600999,SW:230,do[2-3]_Wdooutout,SD:240,up[1-1]_Dupoutout"
203,"SH600886,SW:230,do[1-4]_Wdooutout,SD:241,up[11-7]_Dupoutout"
204,"SH600769,SW:140,up[9-3]_Wupoutout,SD:411,do[4-2]_Ddoinin"
205,"SH603518,SW:140,up[10-4]_Wupoutout,SD:411,up[2-9]_Dupoutout"
206,"SH600192,SW:140,up[9-3]_Wupoutout,SD:411,up[2-3]_Dupoutin"
207,"SH600695,SW:421,up[3-2]_Wupinout,SD:320,up[8-1]_Dupoutout"
208,"SH600851,SW:411,do[7-3]_Wdoinin,SD:230,do[2-1]_Ddooutout"
209,"SH600699,SW:230,do[1-6]_Wdooutout,SD:240,up[1-3]_Dupoutout"
210,"SH601211,SW:230,do[2-3]_Wdooutout,SD:140,up[6-2]_Dupoutout"
211,"SH601339,SW:140,do[3-2]_Wdooutout,SD:411,up[6-7]_Dupoutin"
212,"SH600727,SW:240,up[1-3]_Wupoutout,SD:411,do[2-1]_Ddoinin"
213,"SH600186,SW:140,do[1-1]_Wdooutout,SD:411,do[2-2]_Ddoinin"
214,"SH600268,SW:140,do[3-2]_Wdoinout,SD:140,do[2-6]_Ddooutout"
215,"SH600302,SW:140,up[12-2]_Wupoutout,SD:141,up[1-3]_Dupoutout"
216,"SH600791,SW:240,up[10-3]_Wupoutout,SD:411,do[5-4]_Ddoinin"
217,"SH600110,SW:240,do[2-1]_Wdooutout,SD:140,do[6-6]_Ddooutout"
218,"SH600010,SW:230,do[4-1]_Wdooutout,SD:140,do[3-4]_Ddooutout"
219,"SH603788,SW:240,up[5-3]_Wupoutout,SD:411,up[4-8]_Dupoutout"
