,0
68,"SH880501,SW:230,do[6-5]_Wdooutout,SD:230,up[5-1]_Dupoutout"
69,"SH880216,SW:230,do[3-8]_Wdooutout,SD:240,do[7-4]_Ddooutout"
70,"SH880506,SW:320,do[3-4]_Wdooutout,SD:230,do[8-3]_Ddooutout"
71,"SH880581,SW:240,up[6-2]_Wupoutout,SD:411,up[2-10]_Dupoutout"
72,"SH880472,SW:240,do[1-4]_Wdooutout,SD:140,up[3-1]_Dupoutout"
73,"SH880921,SW:421,up[4-2]_Wupinout,SD:411,do[9-2]_Ddooutout"
74,"SH880805,SW:320,do[2-5]_Wdooutout,SD:230,up[3-1]_Dupoutout"
75,"SH880930,SW:230,do[3-8]_Wdooutout,SD:240,up[3-1]_Dupoutout"
76,"SH880532,SW:230,do[3-8]_Wdooutout,SD:230,do[7-3]_Ddooutout"
77,"SH880210,SW:140,up[12-2]_Wupoutout,SD:411,up[4-7]_Dupoutout"
78,"SH880231,SW:140,up[9-4]_Wupoutout,SD:411,up[4-8]_Dupoutout"
79,"SH880540,SW:230,up[9-1]_Wupoutout,SD:241,do[7-3]_Ddooutout"
80,"SH880852,SW:230,do[3-8]_Wdooutout,SD:240,up[3-1]_Dupoutout"
81,"SH880549,SW:140,up[3-2]_Wupoutout,SD:411,up[3-8]_Dupoutout"
82,"SH880453,SW:140,do[2-1]_Wdooutout,SD:411,up[4-2]_Dupoutout"
83,"SH880821,SW:320,do[6-5]_Wdooutout,SD:230,do[7-4]_Ddooutout"
84,"SH880204,SW:230,up[9-4]_Wupoutout,SD:411,do[6-2]_Ddooutin"
85,"SH880845,SW:230,do[1-4]_Wdooutout,SD:230,up[3-1]_Dupoutout"
86,"SH880502,SW:230,do[3-8]_Wdooutout,SD:241,do[12-3]_Ddooutout"
87,"SH880577,SW:230,do[2-5]_Wdooutout,SD:240,do[7-4]_Ddooutout"
88,"SH880847,SW:420,do[1-6]_Wdooutout,SD:230,do[7-4]_Ddooutout"
89,"SH880903,SW:140,up[4-4]_Wupoutout,SD:411,do[4-4]_Ddooutin"
90,"SH880569,SW:410,up[11-2]_Wupinin,SD:141,do[8-2]_Ddooutout"
91,"SH880398,SW:411,up[11-2]_Wupinin,SD:421,do[10-5]_Ddooutout"
92,"SH880803,SW:230,do[1-5]_Wdooutout,SD:230,up[3-1]_Dupoutout"
93,"SH880863,SW:230,up[4-2]_Wupoutout,SD:410,do[8-2]_Ddooutin"
