,len1,len2,len3,prlendif1,prlendif2,postrix1,postrix2,minl1,minl2,minl3,prrat1,prrat2,startdate,rat,len,sn,refid,maxang1,maxang2,maxh1,maxh2,maxh3
12330,-4.0,14.0,-21.0,-4.0,-14.0,4.0,10.0,6.9,7.11,6.6,14.4906743185079,10.695187165775376,2016-03-04,25.48015364916776,28,600727,463,1.158855091739334,2.6475249173048985,8.15,8.44,10.89
12645,-6.0,15.0,-2.0,-6.0,-15.0,6.0,7.0,5.54,5.77,5.62,4.8252911813643875,19.669421487603312,2016-03-08,13.484848484848499,26,600110,403,0.6517116778269201,3.843487085726261,6.44,7.47,6.21
13767,-6.0,10.0,-18.0,-6.0,-6.0,4.0,6.0,15.91,17.06,15.03,10.939357907253267,7.067510548523215,2015-08-05,4.902506963788289,10,600518,386,2.1166918795704257,6.595541672648324,18.76,20.71,24.51
13834,-3.0,13.0,-21.0,-3.0,-13.0,3.0,5.0,4.28,4.52,4.43,9.276018099547523,9.071729957805896,2016-03-03,12.989690721649506,26,600300,511,0.4137672953031794,1.6594790095530707,4.92,5.21,7.01
14138,-6.0,13.0,-4.0,-6.0,-13.0,2.0,7.0,17.23,18.94,18.7,6.225014277555685,8.018154311649027,2016-03-08,13.36814621409923,30,603198,189,2.6679873196655617,6.421367099344724,19.48,21.88,20.14
14226,-6.0,11.0,-28.0,-6.0,-1.0,2.0,5.0,6.46,6.78,6.72,3.101920236336797,7.8947368421052655,2017-01-24,13.739376770538248,20,600399,712,0.4496160802474157,1.1470868241559564,7.04,7.48,7.67
14421,-3.0,15.0,-2.0,-3.0,-15.0,3.0,9.0,5.13,5.41,5.13,8.429118773946362,12.72727272727272,2016-03-03,11.612903225806436,10,600248,526,0.7935413671894338,2.3040794727845264,5.72,6.21,6.08
14921,-6.0,11.0,-17.0,-6.0,-11.0,2.0,5.0,4.85,5.08,4.97,8.048289738430594,8.768656716417912,2016-03-08,12.830188679245305,24,600868,529,0.7171869614911559,1.7096370976119013,5.68,6.05,6.49
15209,-7.0,11.0,-7.0,-7.0,-5.0,1.0,5.0,5.66,5.9,5.38,9.777015437392802,16.129032258064527,2016-03-09,0.0,-3,600355,3206,1.1399766088210948,3.0513524856617655,6.54,7.34,6.58
15897,-3.0,11.0,-5.0,-3.0,-11.0,3.0,7.0,7.85,8.23,7.96,9.608091024020226,8.004640371229721,2016-03-03,21.08294930875576,34,600778,439,0.9625529021539531,2.402870851484457,8.7,9.33,8.94
16659,-5.0,12.0,-17.0,-5.0,-12.0,3.0,4.0,8.34,9.04,6.84,7.659115426105733,23.552894211576874,2015-08-07,19.008264462809922,11,600960,390,1.8765672983655348,8.348841943146509,9.98,12.56,19.49
17146,-3.0,13.0,-30.0,-3.0,-13.0,3.0,9.0,23.17,24.2,23.82,2.7027027027026973,7.250396196513487,2016-04-13,0.0,7,600291,416,0.8041405384662395,4.704012438790352,24.42,27.67,32.75
17889,-3.0,10.0,-33.0,-3.0,-2.0,3.0,4.0,10.87,11.3,8.83,17.72371850564727,13.149847094801226,2016-02-05,8.835341365461867,7,600806,343,1.5961712055088213,8.403037232544735,13.93,15.58,16.8
18229,-3.0,13.0,-19.0,-3.0,-13.0,3.0,5.0,12.4,13.06,12.38,13.328137178487909,12.590448625180905,2016-03-03,15.607734806629825,28,600649,357,1.2578648284056941,6.472610074670705,14.54,15.66,21.45
18628,-4.0,14.0,-4.0,-4.0,-14.0,4.0,8.0,6.68,7.09,6.82,10.625909752547289,8.344549125168243,2016-03-04,19.972640218878254,25,600327,517,1.0366415673537983,2.043430154622293,7.68,8.11,7.72
18775,-4.0,14.0,-3.0,-4.0,-14.0,4.0,10.0,7.98,8.4,8.0,9.43627450980391,12.758620689655187,2016-03-04,18.348623853211013,25,600830,526,0.93411986440911,3.41462528287096,9.18,9.85,8.64
18916,-4.0,13.0,-15.0,-4.0,-13.0,4.0,5.0,7.55,7.95,7.61,8.667529107373872,9.058823529411764,2016-03-04,40.54054054054053,33,600814,522,1.0028904346958596,3.085774587818857,8.66,9.35,12.0
19034,-3.0,12.0,-6.0,-3.0,-12.0,3.0,4.0,6.5,7.01,6.75,14.896755162241893,7.2083879423328945,2016-03-03,0.0,6,600716,501,0.8575436381711592,2.4442273900615907,7.79,8.34,7.97
19301,-3.0,14.0,-3.0,-3.0,-14.0,3.0,10.0,9.87,10.45,10.01,13.320079522862828,12.046058458813127,2016-03-04,18.37248322147651,27,603015,246,2.083429825058645,4.273016889830837,11.4,12.7,11.12
19633,-3.0,20.0,-19.0,-3.0,-20.0,3.0,10.0,0.64,0.69,0.71,9.090909090909085,12.162162162162149,2004-06-17,0.0,7,600869,2249,0.09726016350208727,0.3302630453972496,0.73,0.85,1.21
19649,-4.0,8.0,-23.0,-4.0,-8.0,4.0,2.0,0.34,0.36,0.34,2.631578947368429,7.4999999999999964,2005-04-22,6.976744186046523,10,600869,2456,0.03202409394989248,0.14486399325089705,0.4,0.45,0.55
19979,-4.0,16.0,-22.0,-4.0,-16.0,4.0,8.0,12.09,12.98,12.97,9.728867623604476,7.380607814761221,2016-03-04,22.336517266715642,25,600060,525,1.8590300826731905,3.8448070517392,13.97,14.98,19.93
20160,-9.0,14.0,-23.0,-9.0,-14.0,1.0,4.0,11.12,11.6,11.27,0.8914100486223653,11.957411957411955,2016-06-29,9.433962264150944,18,600678,512,0.9341926673269996,4.879407569667157,12.77,13.98,17.25
21356,-3.0,13.0,-5.0,-3.0,-13.0,3.0,7.0,14.28,14.79,14.33,4.925775978407553,8.266666666666666,2016-03-03,12.420382165605082,32,601607,526,1.0034322682808865,3.707185839673589,15.58,16.31,16.47
21520,-5.0,14.0,-4.0,-5.0,-14.0,1.0,8.0,5.91,6.58,6.3,9.46843853820598,7.834757834757844,2016-03-07,22.35649546827793,22,600499,432,1.3009859562594883,2.8805058404579333,6.7,7.69,7.33
21786,-3.0,14.0,-3.0,-3.0,-14.0,3.0,10.0,10.85,11.39,11.0,10.215053763440874,11.967213114754104,2016-03-03,20.76236820762369,26,600773,526,1.2869329144616397,4.719325029511476,12.49,13.73,12.24
22615,-2.0,11.0,-23.0,-2.0,-11.0,2.0,3.0,6.68,7.04,6.01,9.912536443148689,15.965346534653444,2015-08-05,18.20615796519412,13,600360,383,0.4215204776076128,6.559636937387843,7.55,9.61,15.17
22701,-5.0,13.0,-23.0,-5.0,-13.0,3.0,9.0,9.85,10.64,9.7,11.65829145728643,12.787488500459983,2016-03-07,16.259477674810462,11,600803,528,2.253891058896877,4.639390521789802,11.48,12.4,16.59
23704,-4.0,11.0,-33.0,-4.0,-11.0,2.0,5.0,15.82,16.9,17.25,0.0,10.763520678685047,2015-08-10,9.90888382687929,9,600182,391,1.7582841679161725,9.029935909261994,17.43,21.74,32.2
24028,-4.0,14.0,-17.0,-4.0,-14.0,4.0,6.0,13.89,14.79,13.98,15.471965933286016,10.919185687847,2016-03-04,15.363128491620117,7,600706,522,2.708063352968777,5.884217851737162,17.07,18.27,25.34
24344,-4.0,14.0,-3.0,-4.0,-14.0,4.0,10.0,4.5,4.87,4.87,11.279826464208243,7.4363992172211235,2016-03-04,2.0366598778003957,5,600439,524,0.8091400866402098,1.399019540214082,5.23,5.5,5.22
24380,-5.0,12.0,-28.0,-5.0,-12.0,1.0,6.0,11.8,12.98,12.25,1.9892884468247771,7.089552238805963,2014-12-15,0.0,5,600490,158,1.5632330762360824,3.662778277017988,13.6,14.6,17.8
24621,-4.0,12.0,-25.0,-4.0,-12.0,4.0,4.0,7.28,7.68,7.8,0.7662835249041988,24.66422466422469,2015-08-10,14.613526570048327,10,600608,390,0.82006331553466,6.801354285066415,7.89,10.36,17.77
25852,-5.0,14.0,-4.0,-5.0,-10.0,3.0,8.0,10.3,10.81,10.27,11.882129277566536,13.980409617097054,2016-03-07,13.417721518987346,24,600128,528,2.2111700341888065,4.164635390407017,12.18,13.06,11.24
25904,-4.0,14.0,-16.0,-4.0,-14.0,4.0,6.0,16.11,16.86,13.41,8.660933660933656,8.423645320197037,2015-08-07,51.76211453744492,11,600639,355,2.600628326383575,14.969756236206775,18.23,22.26,32.2
28019,-3.0,14.0,-24.0,-3.0,-14.0,3.0,8.0,9.47,10.08,9.21,10.456852791878179,11.742424242424242,2016-03-03,0.1818181818181719,6,600240,452,1.280580044299398,4.0827051751629035,10.96,12.05,15.7
28074,-5.0,11.0,-18.0,-5.0,-7.0,5.0,3.0,15.34,16.52,13.08,11.193111931119292,8.664850136239789,2015-08-04,21.878335112059766,13,600079,379,3.2269111739727854,9.1667099096485,18.1,20.2,25.56
28208,-2.0,10.0,-19.0,-2.0,-10.0,2.0,2.0,5.48,5.78,5.44,9.380530973451307,8.407079646017678,2015-08-05,51.490066225165556,15,600653,317,0.2180697791684082,3.3124392738781343,6.19,7.47,10.88
